deserializer, deserializerTime, dataLength, loaderTime, dataLoader, limit, 
APXML, 0.3308910131454468, 105616, 1.710807979106903, ASIHTTPRequest, 200, 
ProtocolBuffer, 0.02031302452087402, 13687, 1.526473999023438, ASIHTTPRequest, 50, 
ProtocolBuffer, 0.03928297758102417, 27373, 0.6669819951057434, ASIHTTPRequest, 100, 
ProtocolBuffer, 0.05759203433990479, 41258, 0.7511780261993408, ASIHTTPRequest, 150, 
ProtocolBuffer, 0.07325303554534912, 54767, 0.9033859968185425, ASIHTTPRequest, 200, 
AQXMLParser, 0.07088398933410645, 26425, 0.5351490378379822, ASIHTTPRequest, 50, 
AQXMLParser, 0.1505190134048462, 52806, 0.9567880034446716, ASIHTTPRequest, 100, 
AQXMLParser, 0.225275993347168, 79409, 0.7093380093574524, ASIHTTPRequest, 150, 
AQXMLParser, 0.2928280234336853, 105616, 0.9864809513092041, ASIHTTPRequest, 200, 
SOAP, 0.04009503126144409, 41997, 4.127728998661041, SOAP, 50, 
SOAP, 0.09746003150939941, 83579, 1.446739971637726, SOAP, 100, 
SOAP, 0.1199299693107605, 125382, 1.106289029121399, SOAP, 150, 
SOAP, 0.1918860077857971, 166789, 4.196256995201111, SOAP, 200, 
